"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","acafly","Acadian Flycatcher","Empidonax virescens",5.55,11.08,0,7.29,"postbreeding_migration","10-04",24.76,"9 of 32","Forests:  Temperate Eastern",NA
"Alabama","ambduc","American Black Duck","Anas rubripes",0,0,0.01,0,"nonbreeding","12-20",0.03035,NA,"Wetlands:  Boreal","Coasts:  Saltmarsh"
"Alabama","ameavo","American Avocet","Recurvirostra americana",0,0,0.02,0.01,"prebreeding_migration","02-15",0.04472,NA,"Wetlands:  Freshwater Marsh",NA
"Alabama","amebit","American Bittern","Botaurus lentiginosus",0,0.02,0.04,0.01,"prebreeding_migration","04-05",0.235,NA,"Wetlands:  Freshwater Marsh",NA
"Alabama","amecro","American Crow","Corvus brachyrhynchos",2.24,2,2.23,1.63,"prebreeding_migration","02-08",2.418,"10 of 49","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Alabama","amegfi","American Goldfinch","Spinus tristis",0.51,0.85,2.64,1.32,"nonbreeding","02-08",3.735,"35 of 45","Open Country:  Habitat Mosaic",NA
"Alabama","amekes","American Kestrel","Falco sparverius",0.04,0.22,0.47,0.08,"nonbreeding","01-04",0.546,"34 of 44","Open Country:  Habitat Mosaic",NA
"Alabama","ameoys","American Oystercatcher","Haematopus palliatus",0.14,0.09,0.1,0.11,"breeding","05-31",0.1909,"14 of 17","Coasts:  Beach and Estuary",NA
"Alabama","amepip","American Pipit","Anthus rubescens",0,0.05,0.99,0.03,"nonbreeding","12-27",1.715,NA,"Tundra:  Alpine","Tundra:  Arctic"
"Alabama","amered","American Redstart","Setophaga ruticilla",0.1,1.44,0,0.42,"postbreeding_migration","09-27",6.502,"27 of 36","Forests:  Temperate Generalist",NA
"Alabama","amerob","American Robin","Turdus migratorius",0.13,0.72,3.03,1.05,"prebreeding_migration","02-08",4.64,"43 of 48","Forests:  Temperate Generalist",NA
"Alabama","amewig","American Wigeon","Mareca americana",0,0.01,0.07,0.01,"prebreeding_migration","01-25",0.08586,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","amewoo","American Woodcock","Scolopax minor",0,0.44,10.3,0.8,"prebreeding_migration","02-08",18.56,NA,"Forests:  Temperate Eastern","Forests:  Boreal"
"Alabama","amwpel","American White Pelican","Pelecanus erythrorhynchos",0.05,0.76,1.33,0.52,"postbreeding_migration","11-08",2.001,"27 of 32","Wetlands:  Lakes and Rivers",NA
"Alabama","anhing","Anhinga","Anhinga anhinga",0.18,0.17,0.04,0.07,"breeding","06-28",0.3174,"9 of 10","Wetlands:  Generalist",NA
"Alabama","babwar","Bay-breasted Warbler","Setophaga castanea",0,0.62,0,0.58,"prebreeding_migration","05-03",8.157,NA,"Forests:  Boreal",NA
"Alabama","bacspa","Bachman's Sparrow","Peucaea aestivalis",3.39,3.39,3.39,3.39,"resident","year round resident",NA,"6 of 10","Forests:  Temperate Eastern",NA
"Alabama","baleag","Bald Eagle","Haliaeetus leucocephalus",0.04,0.1,0.18,0.1,"nonbreeding","01-11",0.2256,"36 of 47","Wetlands:  Generalist","Coasts:  Beach and Estuary"
"Alabama","balori","Baltimore Oriole","Icterus galbula",0,0.07,0,0.28,"prebreeding_migration","04-26",2.956,NA,"Forests:  Temperate Eastern",NA
"Alabama","barswa","Barn Swallow","Hirundo rustica",0.17,0.02,0,0.04,"breeding","06-21",0.2001,"26 of 49","Open Country Aerial:  Habitat Mosaic",NA
"Alabama","bawwar","Black-and-white Warbler","Mniotilta varia",0.51,1.34,0.07,1.21,"postbreeding_migration","10-04",3.86,"20 of 35","Forests:  Temperate Eastern","Forests:  Boreal"
"Alabama","bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis",0.02,0.01,0,0.01,"postbreeding_migration","08-16",0.04411,"9 of 9","Wetlands:  Generalist",NA
"Alabama","bcnher","Black-crowned Night Heron","Nycticorax nycticorax",0.01,0.01,0,0,"postbreeding_migration","09-20",0.01297,"33 of 33","Wetlands:  Generalist","Coasts:  Saltmarsh"
"Alabama","belkin1","Belted Kingfisher","Megaceryle alcyon",0.78,1.78,3.54,1.63,"prebreeding_migration","03-08",5.045,"19 of 48","Wetlands:  Generalist",NA
"Alabama","bkbcuc","Black-billed Cuckoo","Coccyzus erythropthalmus",0,0.29,0,0.04,"prebreeding_migration","04-19",18.17,NA,"Forests:  Temperate Eastern",NA
"Alabama","bkbplo","Black-bellied Plover","Pluvialis squatarola",0.09,0.08,0.14,0.03,"nonbreeding","02-15",0.2742,"11 of 17","Wetlands:  Tundra","Tundra:  Arctic"
"Alabama","bkbwar","Blackburnian Warbler","Setophaga fusca",0,0.62,0,0.16,"postbreeding_migration","10-04",3.964,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","bkpwar","Blackpoll Warbler","Setophaga striata",0,0,0,0.18,"prebreeding_migration","05-03",5.831,NA,"Forests:  Boreal",NA
"Alabama","blksco2","Black Scoter","Melanitta americana",0,0.04,0.01,0,"postbreeding_migration","11-15",0.1756,NA,"Wetlands:  Tundra",NA
"Alabama","blkski","Black Skimmer","Rynchops niger",2.11,0.6,0.01,0.94,"breeding","07-26",2.844,"6 of 15","Coasts:  Beach and Estuary","Coasts:  Saltmarsh"
"Alabama","blkter","Black Tern","Chlidonias niger",0.11,0.57,0,0.02,"postbreeding_migration","08-16",1.688,"12 of 23","Wetlands:  Freshwater Marsh",NA
"Alabama","blkvul","Black Vulture","Coragyps atratus",0.3,0.3,0.3,0.3,"resident","year round resident",NA,"7 of 25","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Alabama","blugrb1","Blue Grosbeak","Passerina caerulea",2.59,2.88,0,2.49,"prebreeding_migration","04-19",5.344,"8 of 35","Forests:  Temperate Eastern","Aridlands:  Desert Riparian"
"Alabama","blujay","Blue Jay","Cyanocitta cristata",2.79,2.43,2.09,2.55,"prebreeding_migration","04-12",3.356,"13 of 40","Forests:  Temperate Eastern",NA
"Alabama","bnhcow","Brown-headed Cowbird","Molothrus ater",0.71,0.77,0.95,1.04,"prebreeding_migration","03-29",1.663,"33 of 48","Open Country:  Habitat Mosaic",NA
"Alabama","bnhnut","Brown-headed Nuthatch","Sitta pusilla",13.72,13.72,13.72,13.72,"resident","year round resident",NA,"3 of 14","Forests:  Temperate Eastern",NA
"Alabama","boboli","Bobolink","Dolichonyx oryzivorus",0,0,0,0.74,"prebreeding_migration","04-26",3.253,NA,"Grasslands:  Temperate",NA
"Alabama","bongul","Bonaparte's Gull","Chroicocephalus philadelphia",0,0.43,6.12,0.5,"prebreeding_migration","03-22",9.019,NA,"Wetlands:  Boreal",NA
"Alabama","botgra","Boat-tailed Grackle","Quiscalus major",0.15,0.15,0.15,0.15,"resident","year round resident",NA,"10 of 13","Coasts:  Saltmarsh","Wetlands:  Freshwater Marsh"
"Alabama","brdowl","Barred Owl","Strix varia",2.46,2.46,2.46,2.46,"resident","year round resident",NA,"14 of 42","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","brebla","Brewer's Blackbird","Euphagus cyanocephalus",0,0,0.03,0,"nonbreeding","01-11",0.05477,NA,"Open Country:  Habitat Mosaic",NA
"Alabama","brncre","Brown Creeper","Certhia americana",0,0.54,1.06,0.13,"nonbreeding","12-27",1.446,NA,"Forests:  Temperate Generalist",NA
"Alabama","brnpel","Brown Pelican","Pelecanus occidentalis",1.98,2.45,0.76,0.84,"postbreeding_migration","08-30",4.86,"5 of 15","Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Alabama","brnthr","Brown Thrasher","Toxostoma rufum",3.3,9.99,13.63,5.23,"postbreeding_migration","10-25",15.89,"8 of 39","Forests:  Temperate Eastern",NA
"Alabama","brwhaw","Broad-winged Hawk","Buteo platypterus",1.82,0.06,0,0.51,"breeding","07-26",2.266,"8 of 33","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","btbwar","Black-throated Blue Warbler","Setophaga caerulescens",0,0,0,0.01,"prebreeding_migration","04-26",0.1611,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","btnwar","Black-throated Green Warbler","Setophaga virens",0.05,1.09,0,0.79,"postbreeding_migration","10-18",9.767,"19 of 24","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","bubsan","Buff-breasted Sandpiper","Calidris subruficollis",0,0.03,0,0,"postbreeding_migration","09-06",0.1036,NA,"Tundra:  Arctic",NA
"Alabama","buffle","Bufflehead","Bucephala albeola",0,0.12,0.63,0.11,"nonbreeding","01-25",0.7085,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Alabama","buggna","Blue-gray Gnatcatcher","Polioptila caerulea",3.78,2.13,0.2,3.32,"prebreeding_migration","04-05",5.464,"9 of 44","Forests:  Generalist",NA
"Alabama","buhvir","Blue-headed Vireo","Vireo solitarius",0.07,2.53,8.97,1.74,"unidentified","03-08",12.21,"19 of 22","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","buwtea","Blue-winged Teal","Spatula discors",0,0.08,0,0.17,"prebreeding_migration","03-29",0.5509,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","buwwar","Blue-winged Warbler","Vermivora cyanoptera",0.23,4.2,0,1.4,"postbreeding_migration","09-20",14.16,"21 of 26","Forests:  Temperate Eastern",NA
"Alabama","camwar","Cape May Warbler","Setophaga tigrina",0,0.01,0,0.13,"prebreeding_migration","04-26",2.973,NA,"Forests:  Boreal",NA
"Alabama","cangoo","Canada Goose","Branta canadensis",0.36,0.12,0.26,0.09,"breeding","07-19",0.6533,"30 of 49","Wetlands:  Generalist",NA
"Alabama","canvas","Canvasback","Aythya valisineria",0,0.05,0.59,0.03,"nonbreeding","12-27",0.7763,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","canwar","Canada Warbler","Cardellina canadensis",0,0.38,0,0.08,"postbreeding_migration","09-13",2.458,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","carchi","Carolina Chickadee","Poecile carolinensis",5.57,5.57,5.57,5.57,"resident","year round resident",NA,"9 of 23","Forests:  Temperate Eastern",NA
"Alabama","carwre","Carolina Wren","Thryothorus ludovicianus",7.29,7.29,7.29,7.29,"resident","year round resident",NA,"4 of 33","Forests:  Temperate Eastern",NA
"Alabama","caster1","Caspian Tern","Hydroprogne caspia",0.72,0.64,0.05,0.3,"postbreeding_migration","09-06",1.986,"11 of 33","Wetlands:  Lakes and Rivers",NA
"Alabama","categr","Western/Eastern Cattle Egret","Bubulcus ibis/coromandus",0.23,0.09,0,0.03,"breeding","07-26",0.4357,"8 of 15","Grasslands:  Temperate","Grasslands:  Temperate"
"Alabama","cedwax","Cedar Waxwing","Bombycilla cedrorum",0,1.99,6.53,1.99,"nonbreeding","01-25",7.043,NA,"Forests:  Temperate Generalist",NA
"Alabama","cerwar","Cerulean Warbler","Setophaga cerulea",0.11,1.05,0,0.97,"postbreeding_migration","08-23",5.243,"19 of 22","Forests:  Temperate Eastern",NA
"Alabama","chispa","Chipping Sparrow","Spizella passerina",0.67,1.58,5.89,1.52,"nonbreeding","01-25",6.759,"32 of 48","Forests:  Temperate Generalist",NA
"Alabama","chiswi","Chimney Swift","Chaetura pelagica",5.22,8.57,0,6.06,"postbreeding_migration","10-11",16.15,"6 of 41","Open Country Aerial:  Developed/Disturbed","Open Country Aerial:  Habitat Mosaic"
"Alabama","chswar","Chestnut-sided Warbler","Setophaga pensylvanica",0,2.98,0,0.19,"postbreeding_migration","09-27",10.38,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","chwwid","Chuck-will's-widow","Antrostomus carolinensis",9.59,1.13,0,7.54,"breeding","06-14",13.06,"4 of 25","Forests:  Temperate Eastern",NA
"Alabama","clarai11","Clapper Rail","Rallus crepitans",2.06,1.51,1.09,1.83,"breeding","07-12",2.989,"11 of 15","Coasts:  Saltmarsh",NA
"Alabama","cliswa","Cliff Swallow","Petrochelidon pyrrhonota",0.52,0.13,0,0.28,"prebreeding_migration","04-05",0.6918,"28 of 42","Open Country Aerial:  Habitat Mosaic",NA
"Alabama","cogdov","Common Ground Dove","Columbina passerina",0.09,0,0.02,0,"breeding","08-30",0.1061,"6 of 8","Aridlands:  Desert Scrub","Forests:  Tropical Dry"
"Alabama","comgal1","Common Gallinule","Gallinula galeata",0.05,0.03,0.01,0.03,"breeding","06-21",0.06318,"10 of 16","Wetlands:  Freshwater Marsh",NA
"Alabama","comgol","Common Goldeneye","Bucephala clangula",0,0.01,0.06,0,"nonbreeding","01-04",0.07733,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Alabama","comgra","Common Grackle","Quiscalus quiscula",0.65,1.37,3.13,1.25,"nonbreeding","01-04",3.82,"32 of 42","Open Country:  Habitat Mosaic",NA
"Alabama","comloo","Common Loon","Gavia immer",0,0.2,2.47,0.17,"prebreeding_migration","03-22",2.952,NA,"Wetlands:  Lakes and Rivers",NA
"Alabama","comnig","Common Nighthawk","Chordeiles minor",0.03,0.19,0,0.13,"prebreeding_migration","05-03",1.16,"33 of 38","Open Country Aerial:  Habitat Mosaic",NA
"Alabama","comter","Common Tern","Sterna hirundo",0.02,0.01,0,0.02,"postbreeding_migration","09-20",0.1251,"14 of 22","Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Alabama","comyel","Common Yellowthroat","Geothlypis trichas",1.02,1.62,1.88,2.75,"prebreeding_migration","03-22",6.888,"24 of 49","Open Country:  Habitat Mosaic","Wetlands:  Freshwater Marsh"
"Alabama","coohaw","Cooper's Hawk","Accipiter cooperii",0.38,0.57,0.87,0.33,"postbreeding_migration","11-22",1.621,"39 of 49","Forests:  Temperate Generalist",NA
"Alabama","daejun","Dark-eyed Junco","Junco hyemalis",0,0.15,0.45,0.11,"nonbreeding","12-27",0.5124,NA,"Forests:  Temperate Generalist",NA
"Alabama","dickci","Dickcissel","Spiza americana",0.11,0.01,0,0.14,"prebreeding_migration","05-17",0.223,"23 of 28","Grasslands:  Temperate",NA
"Alabama","doccor","Double-crested Cormorant","Nannopterum auritum",0.46,0.97,3.76,1.95,"nonbreeding","01-04",4.96,"25 of 48","Wetlands:  Generalist","Coasts:  Beach and Estuary"
"Alabama","dowwoo","Downy Woodpecker","Dryobates pubescens",2.48,2.48,2.48,2.48,"resident","year round resident",NA,"19 of 50","Forests:  Temperate Generalist",NA
"Alabama","dunlin","Dunlin","Calidris alpina",0,0.02,0.21,0.04,"nonbreeding","02-15",0.4851,NA,"Wetlands:  Tundra","Coasts:  Tundra"
"Alabama","easblu","Eastern Bluebird","Sialia sialis",5.68,5.29,5.71,6.04,"prebreeding_migration","03-01",6.404,"4 of 41","Forests:  Temperate Eastern","Forests:  Mesoamerican Pine-Oak"
"Alabama","easkin","Eastern Kingbird","Tyrannus tyrannus",1.6,0.99,0,2.06,"prebreeding_migration","05-03",3.238,"17 of 45","Open Country:  Habitat Mosaic","Grasslands:  Temperate"
"Alabama","easmea","Eastern Meadowlark","Sturnella magna",1.35,1.21,1.99,1.59,"nonbreeding","12-13",2.408,"18 of 31","Grasslands:  Temperate","Grasslands:  Tropical"
"Alabama","easowl1","Eastern Screech-Owl","Megascops asio",3.1,3.1,3.1,3.1,"resident","year round resident",NA,"10 of 39","Forests:  Temperate Eastern",NA
"Alabama","easpho","Eastern Phoebe","Sayornis phoebe",3.33,7.27,8.1,4.73,"prebreeding_migration","02-22",9.56,"8 of 38","Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Alabama","eastow","Eastern Towhee","Pipilo erythrophthalmus",6.43,8.86,11.22,6.68,"nonbreeding","01-11",12.14,"4 of 36","Forests:  Temperate Eastern",NA
"Alabama","easwpw1","Eastern Whip-poor-will","Antrostomus vociferus",0.24,0,0,2.53,"prebreeding_migration","03-29",17.37,"25 of 32","Forests:  Temperate Eastern",NA
"Alabama","eawpew","Eastern Wood-Pewee","Contopus virens",2.54,3.35,0,2.34,"postbreeding_migration","10-04",7.764,"19 of 37","Forests:  Temperate Eastern",NA
"Alabama","eursta","European Starling","Sturnus vulgaris",0.07,0.07,0.15,0.08,"nonbreeding","12-27",0.2249,"37 of 48","Open Country:  Developed/Disturbed",NA
"Alabama","fiespa","Field Sparrow","Spizella pusilla",2.05,3.04,4.44,2.75,"nonbreeding","11-29",6.813,"21 of 39","Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Alabama","fiscro","Fish Crow","Corvus ossifragus",5.46,0,6.79,0,"nonbreeding","12-06",9.55,"9 of 30","Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Alabama","forter","Forster's Tern","Sterna forsteri",0.42,1.45,0.62,0.63,"postbreeding_migration","09-13",3.251,"22 of 36","Wetlands:  Freshwater Marsh",NA
"Alabama","foxspa","Fox Sparrow","Passerella iliaca",0,0.28,1.75,0.04,"nonbreeding","01-11",2.775,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Alabama","gadwal","Gadwall","Mareca strepera",0,0.16,0.48,0.14,"postbreeding_migration","12-13",0.6579,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","gnwtea","Green-winged Teal","Anas crecca",0,0,0.01,0,"nonbreeding","12-27",0.02088,NA,"Wetlands:  Generalist",NA
"Alabama","gockin","Golden-crowned Kinglet","Regulus satrapa",0,1,3.36,0.69,"nonbreeding","01-25",4.079,NA,"Forests:  Boreal","Forests:  Temperate Western"
"Alabama","gowwar","Golden-winged Warbler","Vermivora chrysoptera",0,1.89,0,0.01,"postbreeding_migration","10-04",16,NA,"Forests:  Temperate Eastern",NA
"Alabama","graspa","Grasshopper Sparrow","Ammodramus savannarum",0.04,0.03,0.01,0.06,"prebreeding_migration","05-03",0.127,"37 of 40","Grasslands:  Temperate",NA
"Alabama","grbher3","Great Blue Heron","Ardea herodias",1.76,1.74,2.6,2.09,"postbreeding_migration","11-22",2.782,"19 of 49","Wetlands:  Generalist","Coasts:  Saltmarsh"
"Alabama","grcfly","Great Crested Flycatcher","Myiarchus crinitus",3.79,3.65,0,5.75,"prebreeding_migration","04-12",11.74,"9 of 39","Forests:  Temperate Eastern",NA
"Alabama","greegr","Great Egret","Ardea alba",0.42,0.24,0.15,0.21,"breeding","08-23",0.6647,"8 of 38","Wetlands:  Generalist","Coasts:  Saltmarsh"
"Alabama","gresca","Greater Scaup","Aythya marila",0,0.01,0.03,0.01,"prebreeding_migration","02-08",0.06873,NA,"Wetlands:  Tundra",NA
"Alabama","greyel","Greater Yellowlegs","Tringa melanoleuca",0,0.03,0.14,0.14,"prebreeding_migration","04-05",0.5272,NA,"Wetlands:  Boreal",NA
"Alabama","grhowl","Great Horned Owl","Bubo virginianus",0.26,0.26,0.26,0.26,"resident","year round resident",NA,"32 of 49","Open Country:  Habitat Mosaic",NA
"Alabama","grnher","Green Heron","Butorides virescens",1.51,0.51,0,0.76,"breeding","07-19",1.933,"15 of 42","Wetlands:  Freshwater Marsh",NA
"Alabama","grycat","Gray Catbird","Dumetella carolinensis",0.17,1.66,1.31,1.06,"postbreeding_migration","10-11",7.002,"37 of 46","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","gubter1","Gull-billed/Australian Tern","Gelochelidon nilotica/macrotarsa",0.17,0,0,0.15,"prebreeding_migration","05-17",0.4611,"5 of 11","Coasts:  Beach and Estuary","Coasts:  Beach and Estuary"
"Alabama","gycthr","Gray-cheeked Thrush","Catharus minimus",0,4.3,0,0.03,"postbreeding_migration","10-11",23.02,NA,"Forests:  Boreal",NA
"Alabama","haiwoo","Hairy Woodpecker","Dryobates villosus",0.58,0.58,0.58,0.58,"resident","year round resident",NA,"35 of 49","Forests:  Generalist",NA
"Alabama","henspa","Henslow's Sparrow","Centronyx henslowii",0,0,2.47,0.12,"nonbreeding","12-13",5.865,NA,"Grasslands:  Temperate",NA
"Alabama","hergul","Herring Gull","Larus argentatus",0,0,0.05,0.01,"nonbreeding","01-11",0.07302,NA,"Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Alabama","herthr","Hermit Thrush","Catharus guttatus",0,1.94,4.85,0.44,"prebreeding_migration","03-29",5.462,NA,"Forests:  Temperate Generalist",NA
"Alabama","hoomer","Hooded Merganser","Lophodytes cucullatus",0,0.65,3.02,0.4,"nonbreeding","12-27",4.427,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Alabama","hoowar","Hooded Warbler","Setophaga citrina",9.31,9.69,0,11.66,"prebreeding_migration","04-05",18.82,"3 of 27","Forests:  Temperate Eastern",NA
"Alabama","horgre","Horned Grebe","Podiceps auritus",0,0.33,1.43,0.15,"nonbreeding","02-01",2.081,NA,"Wetlands:  Freshwater Marsh",NA
"Alabama","horlar","Horned Lark","Eremophila alpestris",0,0,0.01,0,"nonbreeding","01-11",0.02491,NA,"Grasslands:  Temperate","Tundra:  Arctic"
"Alabama","houfin","House Finch","Haemorhous mexicanus",0.29,0.29,0.29,0.29,"resident","year round resident",NA,"26 of 49","Open Country:  Habitat Mosaic","Aridlands:  Desert Scrub"
"Alabama","houwre","House Wren","Troglodytes aedon",0,0.25,0.25,0.08,"postbreeding_migration","10-25",0.5278,NA,"Forests:  Generalist","Open Country:  Developed/Disturbed"
"Alabama","indbun","Indigo Bunting","Passerina cyanea",3.91,5.18,0,4.49,"postbreeding_migration","10-11",7.567,"9 of 40","Forests:  Temperate Eastern",NA
"Alabama","kenwar","Kentucky Warbler","Geothlypis formosa",7.78,5.46,0,10.5,"prebreeding_migration","04-12",23.56,"6 of 26","Forests:  Temperate Eastern",NA
"Alabama","killde","Killdeer","Charadrius vociferus",0.41,1.08,3.87,1.47,"nonbreeding","01-18",4.326,"37 of 48","Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Alabama","kinrai4","King Rail","Rallus elegans",1.09,0.03,0.41,2.37,"nonbreeding","03-29",2.796,"5 of 17","Wetlands:  Freshwater Marsh",NA
"Alabama","larspa","Lark Sparrow","Chondestes grammacus",0.02,0,0,0.01,"breeding","06-14",0.02663,"26 of 29","Open Country:  Habitat Mosaic",NA
"Alabama","laugul","Laughing Gull","Leucophaeus atricilla",2.32,1.92,0.95,1.4,"postbreeding_migration","07-19",4.412,"6 of 19","Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Alabama","leabit","Least Bittern","Ixobrychus exilis",0.97,0.2,0,0.96,"prebreeding_migration","05-31",1.357,"10 of 35","Wetlands:  Freshwater Marsh",NA
